OBJECTID,Year,Reported Date,Occurred Date,Weekday,Offence Category,Sector,Division,Neighbourhood,Ward,Councillor,x,y
46,2019,1/13/2019 5:00:00 AM,1/10/2019 5:00:00 AM,Thursday,Homicide-2Nd Degree Murder,14,West,Whitehaven - Queensway Terrace North,Ward 7 - Bay,Theresa Kavanagh,359558.671000002,5024103.51209946
47,2018,5/5/2018 5:00:00 AM,5/5/2018 5:00:00 AM,Saturday,Homicide-1St Degree Murder,33,East,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Marty Carr,373800.548700003,5029100.07909946
48,2022,1/3/2022 5:00:00 AM,1/3/2022 5:00:00 AM,Monday,Homicide-2Nd Degree Murder,33,East,Hawthorne Meadows - Sheffield Glen,Ward 18 - Alta Vista,Marty Carr,373800.548700003,5029100.07909946
49,2023,9/2/2023 5:00:00 AM,9/2/2023 5:00:00 AM,Saturday,Homicide-1St Degree Murder,35,East,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Jessica Bradley,370029.761900004,5022883.40899946
50,2023,9/2/2023 5:00:00 AM,9/2/2023 5:00:00 AM,Saturday,Homicide-1St Degree Murder,35,East,Hunt Club - Ottawa Airport,Ward 10 - Gloucester-Southgate,Jessica Bradley,370029.761900004,5022883.40899946
51,2020,2/3/2020 5:00:00 AM,2/2/2020 5:00:00 AM,Sunday,Homicide-2Nd Degree Murder,32,East,Cummings,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,373014.728500004,5032119.54829946
52,2022,10/31/2022 5:00:00 AM,10/31/2022 5:00:00 AM,Monday,Homicide-1St Degree Murder,32,East,Cummings,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,372412.720000004,5032504.57889946
53,2022,9/16/2022 5:00:00 AM,9/16/2022 5:00:00 AM,Friday,Homicide-2Nd Degree Murder,25,Central,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Rawlson King,372080.734700003,5031933.45589946
54,2019,5/14/2019 5:00:00 AM,5/13/2019 5:00:00 AM,Monday,Homicide-1St Degree Murder,25,Central,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Rawlson King,370790.963000004,5032555.94899946
55,2019,9/8/2019 5:00:00 AM,9/8/2019 5:00:00 AM,Sunday,Homicide-2Nd Degree Murder,25,Central,Overbrook - McArthur,Ward 13 - Rideau-Rockcliffe,Rawlson King,370744.715100003,5031929.57699946
56,2019,11/27/2019 5:00:00 AM,11/27/2019 5:00:00 AM,Wednesday,Homicide-1St Degree Murder,33,East,Hunt Club Park,Ward 10 - Gloucester-Southgate,Jessica Bradley,373975.221900004,5025768.62899946
57,2019,2/8/2019 5:00:00 AM,2/8/2019 5:00:00 AM,Friday,Homicide-2Nd Degree Murder,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368601.704900002,5032846.58899946
58,2021,8/10/2021 5:00:00 AM,8/10/2021 5:00:00 AM,Tuesday,Homicide-1St Degree Murder,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368601.704900002,5032846.58899946
59,2022,7/16/2022 5:00:00 AM,7/15/2022 5:00:00 AM,Friday,Homicide-2Nd Degree Murder,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368482.704900003,5032771.58789946
60,2021,7/5/2021 5:00:00 AM,7/4/2021 5:00:00 AM,Sunday,Homicide-1St Degree Murder,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368822.560900001,5032743.35919946
61,2021,1/12/2021 5:00:00 AM,1/12/2021 5:00:00 AM,Tuesday,Homicide-Manslaughter,17,West,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sean Devine,366417.037000002,5024945.23809946
62,2020,5/15/2020 5:00:00 AM,5/15/2020 5:00:00 AM,Friday,Homicide-Manslaughter,17,West,Cityview - Skyline - Fisher Heights,Ward 9 - Knoxdale-Merivale,Sean Devine,365103.459900001,5024007.82539946
63,2021,5/28/2021 5:00:00 AM,5/28/2021 5:00:00 AM,Friday,Homicide-1St Degree Murder,33,East,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Marty Carr,370700.504100003,5030197.50849946
64,2023,2/14/2023 5:00:00 AM,2/14/2023 5:00:00 AM,Tuesday,Homicide-1St Degree Murder,33,East,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Marty Carr,371071.720000003,5030273.56189946
65,2021,5/28/2021 5:00:00 AM,5/28/2021 5:00:00 AM,Friday,Homicide-1St Degree Murder,33,East,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Marty Carr,370700.504100003,5030197.50849946
66,2022,1/22/2022 5:00:00 AM,1/22/2022 5:00:00 AM,Saturday,Homicide-2Nd Degree Murder,25,Central,Vanier North,Ward 12 - Rideau-Vanier,Stéphanie Plante,370239.157000003,5033329.47509946
67,2019,4/6/2019 5:00:00 AM,4/6/2019 5:00:00 AM,Saturday,Homicide-2Nd Degree Murder,25,Central,Vanier North,Ward 12 - Rideau-Vanier,Stéphanie Plante,370236.707900002,5033852.59589946
68,2021,5/4/2021 5:00:00 AM,5/4/2021 5:00:00 AM,Tuesday,Homicide-Manslaughter,25,Central,Vanier North,Ward 12 - Rideau-Vanier,Stéphanie Plante,370155.709000002,5033390.59099946
69,2019,2/20/2019 5:00:00 AM,2/20/2019 5:00:00 AM,Wednesday,Homicide-2Nd Degree Murder,25,Central,Vanier North,Ward 12 - Rideau-Vanier,Stéphanie Plante,369874.707100004,5034030.59809946
70,2022,4/15/2022 5:00:00 AM,4/15/2022 5:00:00 AM,Friday,Homicide-2Nd Degree Murder,33,East,Elmvale - Eastway - Riverview - Riverview Park West,Ward 18 - Alta Vista,Marty Carr,372565.034300005,5029295.79429946
71,2021,12/6/2021 5:00:00 AM,12/6/2021 5:00:00 AM,Monday,Homicide-1St Degree Murder,15,West,Iris,Ward 8 - College,Laine Johnson,361633.192900003,5023935.51399946
72,2018,11/23/2018 5:00:00 AM,11/23/2018 5:00:00 AM,Friday,Homicide-1St Degree Murder,35,East,South Keys - Heron Gate - Greenboro West,Ward 10 - Gloucester-Southgate,Jessica Bradley,370852.239900004,5024838.49869946
