OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Hate Crime Status,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
1207,518,2018,3/27/2018 12:00:00 AM,3/27/2018 12:00:00 AM,Tuesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.20,Ward 3 - Barrhaven West,David Hill,Criminal
1208,519,2022,6/20/2022 12:00:00 AM,6/17/2022 12:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Mischief To Property,West Centertown,Sector 22,Central,5050042.00,Ward 14 - Somerset,Ariel Troster,Criminal
1209,520,2020,5/21/2020 12:00:00 AM,5/21/2020 12:00:00 AM,Thursday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Suspected,Threats Utter To Person,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.16,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1210,521,2023,8/25/2023 12:00:00 AM,6/13/2023 12:00:00 AM,Tuesday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Harass Sexual Orientation,Hintonburg - Mechanicsville,Sector 21,Central,5050046.00,Ward 15 - Kitchissippi,Jeff Leiper,Non Criminal
1211,522,2023,9/8/2023 12:00:00 AM,9/8/2023 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Information ( General),Carlington,Sector 21,Central,5050022.00,Ward 16 - River,Riley Brockington,Non Criminal
1212,523,2023,11/28/2023 12:00:00 AM,11/23/2023 12:00:00 AM,Thursday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Mischief To Property,Centrepointe,Sector 15,West,5050137.05,Ward 8 - College,Laine Johnson,Criminal
1213,524,2022,11/6/2022 12:00:00 AM,11/6/2022 12:00:00 AM,Sunday,Race/Ethnicity,South Asian,Hatecrime Happened,Dispute- Disturbance,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.16,Ward 24 - Barrhaven East,Wilson Lo,Non Criminal
1214,525,2022,9/18/2022 12:00:00 AM,9/18/2022 12:00:00 AM,Sunday,Race/Ethnicity,South Asian,Hatecrime Suspected,Dispute- Disturbance,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.16,Ward 24 - Barrhaven East,Wilson Lo,Non Criminal
1215,526,2022,8/20/2022 12:00:00 AM,8/20/2022 12:00:00 AM,Saturday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Suspected,Threats Utter To Person,Carlington,Sector 21,Central,5050022.00,Ward 16 - River,Riley Brockington,Criminal
1216,527,2020,10/4/2020 12:00:00 AM,10/4/2020 12:00:00 AM,Sunday,Race/Ethnicity,Black,Hatecrime Happened,Assault Level 1,Carlington,Sector 21,Central,5050022.00,Ward 16 - River,Riley Brockington,Criminal
1217,528,2022,10/2/2022 12:00:00 AM,10/2/2022 12:00:00 AM,Sunday,Race/Ethnicity,East and Southeast Asian,Hatecrime Suspected,Mischief To Property,Westboro,Sector 21,Central,5050033.02,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
1218,529,2018,12/18/2018 12:00:00 AM,12/18/2018 12:00:00 AM,Tuesday,Religion,Jewish,Hatecrime Suspected,Mischief To Property,West Centertown,Sector 22,Central,5050041.00,Ward 14 - Somerset,Ariel Troster,Criminal
1219,530,2020,5/1/2020 12:00:00 AM,4/30/2020 12:00:00 AM,Thursday,Race/Ethnicity,East and Southeast Asian,Hatecrime Happened,Mischief To Property,Borden Farm - Stewart Farm - Parkwood Hills - Fisher Glen,Sector 17,West,5050131.02,Ward 9 - Knoxdale-Merivale,Sean Devine,Criminal
1220,531,2022,5/9/2022 12:00:00 AM,5/9/2022 12:00:00 AM,Monday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Chapman Mills - Rideau Crest - Davidson Heights,Sector 16,West,5050141.09,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1221,532,2023,11/13/2023 12:00:00 AM,11/8/2023 12:00:00 AM,Wednesday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Information ( General),Merivale Gardens - Grenfell Glen - Pineglen - Country Place,Sector 17,West,5050130.01,Ward 9 - Knoxdale-Merivale,Sean Devine,Non Criminal
1222,533,2023,7/4/2023 12:00:00 AM,7/4/2023 12:00:00 AM,Tuesday,Unknown,Unknown,Hatecrime Suspected,Mischief To Property,New Barrhaven - New Development - Stonebridge,Sector 16,West,5050141.22,Ward 24 - Barrhaven East,Wilson Lo,Criminal
1223,534,2023,5/14/2023 12:00:00 AM,5/14/2023 12:00:00 AM,Sunday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Hatecrime Happened,Assault Level 1,West Centertown,Sector 22,Central,5050035.00,Ward 14 - Somerset,Ariel Troster,Criminal
1224,535,2019,9/3/2019 12:00:00 AM,9/3/2019 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Hintonburg - Mechanicsville,Sector 21,Central,5050043.00,Ward 15 - Kitchissippi,Jeff Leiper,Criminal
